Category,Keywords
Food,"restaurant, cafe, coffee, lunch, dinner, snack, pizza, burger, pasta, biryani, sandwich, dosa, idli, momo, roll, juice, beer, wine, bar, buffet, thali, pani puri, icecream, bakery, cake, pastry, waffle"
Transport,"uber, ola, taxi, cab, bus, train, metro, fuel, petrol, diesel, toll, highway, parking, flight, airline, auto, rickshaw, scooter, bike, cycle, driver, ticket, travelcard"
Groceries,"grocery, supermarket, mart, vegetable, veg, fruit, milk, dairy, kirana, bigbasket, blinkit, reliance fresh, more store, hypercity, frozen, meat, fish, egg, pantry, pulses, grains, bread, flour, rice, oil, sugar"
Rent,"rent, lease, apartment, flat, house, villa, room, pg, hostel, co-living, tenancy, landlord, emi, mortgage"
Entertainment,"movie, cinema, netflix, amazon prime, hotstar, spotify, gaana, wynk, game, concert, theatre, bookmyshow, youtube, twitch, live show, festival, event, party, pubg, valorant"
Bills,"electricity, water, internet, broadband, wifi, phone, mobile, recharge, gas, dth, bill, postpaid, prepaid, landline, cylinder"
Shopping,"shopping, mall, clothes, electronics, shoes, amazon, flipkart, myntra, ajio, snapdeal, furniture, decor, lifestyle, nykaa, jewellery, watch, handbag, cosmetics, gadget"
Health,"pharmacy, medical, medicine, doctor, hospital, clinic, checkup, lab, diagnostic, fitness, gym, yoga, therapy, dental, eye, insurance, surgery, ayurveda, homoeopathy"
Education,"tuition, course, exam, book, coaching, udemy, coursera, byjus, unacademy, edx, school, college, university, fees, training, lecture, workshop, seminar, online class, notes"
Travel,"flight, airline, hotel, booking, trip, airbnb, luggage, tourism, visa, passport, train, cruise, holiday, guide, itinerary, tour, beach, mountains, backpacking"
Income,"salary, stipend, refund, interest, bonus, cashback, credit, investment, dividend, allowance, pension, freelance, profit, revenue, commission, stock, share"
Utilities,"plumber, electrician, carpenter, repair, service, maintenance, pest control, laundry, ironing, cleaning, maid, mechanic"
Subscriptions,"netflix, spotify, prime, hotstar, zee5, sony liv, apple music, youtube premium, audible, disney, cloud storage, google drive, onedrive, dropbox"
Sports,"cricket, football, badminton, tennis, kabaddi, hockey, basketball, volleyball, stadium, match, ticket, sportswear, gym, fitness, marathon, yoga, cycling, running, swimming"
Pets,"pet, dog, cat, fish, bird, grooming, vet, animal, adoption, kennel, petfood, leash, vaccination"
Luxury,"watch, jewellery, diamond, gold, silver, designer, handbag, perfume, luxury car, resort, spa, yacht"
Charity,"donation, ngo, charity, relief, fund, foundation, crowdfunding, help, welfare, trust"
Technology,"laptop, computer, mobile, tablet, phone, headphones, charger, smartwatch, tv, console, software, app, subscription, upgrade, repair"
Insurance,"life insurance, health insurance, vehicle insurance, premium, claim, accident, coverage, term plan"
Other,"misc, general, uncategorized, unknown, random"
